gapSppCode,gapSciName,gapComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,iucnOgn
aABSAx,Eurycea waterlooensis,Austin Blind Salamander,59278,Eurycea waterlooensis,Austin Blind Salamander,VU,unknown,Native
aADSAx,Desmognathus apalachicolae,Apalachicola Dusky Salamander,59244,Desmognathus apalachicolae,Apalachicola Dusky Salamander,LC,stable,Native
aAGTOx,Anaxyrus nelsoni,Amargosa Toad,3181,Anaxyrus nelsoni,,EN,decreasing,Native
aAMBUx,Lithobates catesbeianus,American Bullfrog,58565,Lithobates catesbeianus,American Bullfrog,LC,increasing,Native
aAMDSx,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,59253,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,LC,unknown,Native
aAMTOx,Anaxyrus americanus,American Toad,54570,Anaxyrus americanus,American Toad,LC,stable,Native
aARSAx,Aneides lugubris,Arboreal Salamander,59118,Aneides lugubris,Arboreal Salamander,LC,stable,Native
aARTOx,Anaxyrus californicus,Arroyo Toad,54599,Anaxyrus californicus,Arroyo Toad,EN,decreasing,Native
aAZTOx,Anaxyrus microscaphus,Arizona Toad,54709,Anaxyrus microscaphus,Arizona Toad,LC,decreasing,Native
aAZTRx,Hyla wrightorum,Arizona Treefrog,55696,Dryophytes wrightorum,Wright's Mountain Treefrog,LC,stable,Native
aBAFRx,Craugastor augusti,Barking Frog,56438,Craugastor augusti,Barking Frog,LC,stable,Native
aBATRx,Hyla gratiosa,Barking Treefrog,55495,Dryophytes gratiosus,Barking Treefrog,LC,stable,Native
aBBSSx,Batrachoseps nigriventris,Black-bellied Slender Salamander,59130,Batrachoseps nigriventris,Blackbelly Slender Salamander,LC,stable,Native
aBCSAx,Gyrinophilus gulolineatus,Berry Cave Salamander,59280,Gyrinophilus gulolineatus,Berry Cave Salamander,EN,decreasing,Native
aBESAx,Desmognathus quadramaculatus,Black-bellied Salamander,59256,Desmognathus quadramaculatus,Blackbelly Salamander,LC,stable,Native
aBGCSx,Plethodon amplus,Blue Ridge Gray-cheeked Salamander,59330,Plethodon amplus,Blue Ridge Gray-cheeked Salamander,VU,unknown,Native
aBGSAx,Plethodon sherando,Big Levels Salamander,61905,Plethodon sherando,Big Levels Salamander,VU,unknown,Native
aBLASx,Aneides flavipunctatus,Black Salamander,59116,Aneides flavipunctatus,Black Salamander,NT,decreasing,Native
aBLSAx,Eurycea robusta,Blanco Blind Salamander,39263,Eurycea robusta,Blanco Blind Salamander,DD,unknown,Native
aBLTOx,Anaxyrus exsul,Black Toad,3169,Anaxyrus exsul,Black Toad,VU,stable,Native
aBMSAx,Desmognathus welteri,Black Mountain Salamander,59258,Desmognathus welteri,Black Mountain Salamander,LC,unknown,Native
aBOFRx,Pseudacris maculata,Boreal Chorus Frog,136004,Pseudacris maculata,Boreal Chorus Frog,LC,stable,Native
aBOTOx,Anaxyrus boreas,Western Toad,3179,Anaxyrus boreas,Western Toad,LC,decreasing,Native
aBRDSx,Desmognathus orestes,Blue Ridge Dusky Salamander,59255,Desmognathus orestes,Blue Ridge Dusky Salamander,LC,stable,Native
aBRFRx,Pseudacris brimleyi,Brimley's Chorus Frog,55889,Pseudacris brimleyi,Brimley's Chorus Frog,LC,stable,Native
aBRTSx,Eurycea wilderae,Blue Ridge Two-lined Salamander,59279,Eurycea wilderae,Blue Ridge Two-lined Salamander,LC,stable,Native
aBSNEx,Notophthalmus meridionalis,Black-spotted Newt,59452,Notophthalmus meridionalis,Black-spotted Newt,EN,decreasing,Native
aBSPSx,Eurycea sosorum,Barton Springs Salamander,8392,Eurycea sosorum,Barton Springs Salamander,VU,stable,Native
aBTISx,Ambystoma mavortium,Barred Tiger Salamander,199970,Ambystoma mavortium,Western Tiger Salamander,LC,unknown,Native
aBUPSx,Ambystoma laterale,Blue-spotted Salamander,59060,Ambystoma laterale,Blue-spotted Salamander,LC,stable,Native
aBUTOx,Rhinophrynus dorsalis,Burrowing Toad,59040,Rhinophrynus dorsalis,Burrowing Toad,LC,stable,Native
aBVTRx,Hyla avivoca,Bird-voiced Treefrog,55403,Dryophytes avivoca,Bird-voiced Treefrog,LC,stable,Native
aBWRWx,Necturus alabamensis,Black Warrior River Waterdog,59430,Necturus alabamensis,Alabama Waterdog,EN,decreasing,Native
aCANEx,Rhinella marinus,Cane Toad,41065,Rhinella marina,Cane Toad,LC,increasing,Native
aCASAx,Dicamptodon ensatus,Calfifornia Giant Salamander,59080,Dicamptodon ensatus,California Giant Salamander,NT,unknown,Native
aCATOx,Anaxyrus hemiophrys,Canadian Toad,54661,Anaxyrus hemiophrys,Canadian Toad,LC,stable,Native
aCATRx,Pseudacris cadaverina,California Treefrog,55890,Pseudacris cadaverina,California Chorus Frog,LC,stable,Native
aCBSAx,Eurycea tridentifera,Comal Blind Salamander,8393,Eurycea tridentifera,Comal Blind Salamander,VU,unknown,Native
aCCFRx,Eleutherodactylus marnockii,Cliff Chirping Frog,56744,Eleutherodactylus marnockii,Cliff Chirping Frog,LC,stable,Native
aCCSAx,Eurycea latitans,Cascade Caverns Salamander,59267,Eurycea latitans,Cascade Caverns Salamander,VU,decreasing,Native
aCFNEx,Taricha torosa,California Newt,59471,Taricha torosa,Coast Range Newt,LC,unknown,Native
aCGSAx,Dicamptodon copei,Cope's Giant Salamander,59079,Dicamptodon copei,Cope's Giant Salamander,LC,stable,Native
aCGTRx,Hyla chrysoscelis,Cope's Gray Treefrog,55448,Dryophytes chrysoscelis,Cope's Gray Treefrog,LC,stable,Native
aCHDSx,Eurycea chamberlaini,Chamberlain's Dwarf Salamander,59262,Eurycea chamberlaini,Chamberlain's Dwarf Salamander,DD,unknown,Native
