Species ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Authority	Infraspecific rank	Infraspecific name	Infraspecific authority	Stock/subpopulation	Synonyms	Common names (Eng)	Common names (Fre)	Common names (Spa)	Red List status	Red List criteria	Red List criteria version	Year assessed	Population trend	Petitioned
176756	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	ELAPIDAE	Acalyptophis	peronii	"(Duméril, 1853)"					Acalyptus peronii  	"Horned Sea Snake, Peron's Sea Snake, Spiny-headed Seasnake"	Acalypte De Peron		LC		3.1	2010	stable	N
22725044	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	FRINGILLIDAE	Acanthis	flammea	"(Linnaeus, 1758)"					Carduelis flammea	"Redpoll, Common Redpoll"			LC		3.1	2016	decreasing	N
22695656	ANIMALIA	CHORDATA	AVES	ACCIPITRIFORMES	ACCIPITRIDAE	Accipiter	cooperii	"(Bonaparte, 1828)"						Cooper's Hawk			LC		3.1	2016	increasing	N
22695683	ANIMALIA	CHORDATA	AVES	ACCIPITRIFORMES	ACCIPITRIDAE	Accipiter	gentilis	"(Linnaeus, 1758)"						"Northern Goshawk, Eurasian Goshawk, Goshawk"	Autour des palombes		LC		3.1	2016	unknown	N
22734130	ANIMALIA	CHORDATA	AVES	ACCIPITRIFORMES	ACCIPITRIDAE	Accipiter	striatus	"Vieillot, 1807"						Sharp-shinned Hawk			LC		3.1	2016	increasing	N
22710921	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	STURNIDAE	Acridotheres	tristis	"(Linnaeus, 1766)"					Sturnus tristis tristis	Common Myna	Martin triste		LC		3.1	2016	increasing	N
55286	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Acris	crepitans	"Baird, 1854"						Northern Cricket Frog			LC		3.1	2004	stable	N
55287	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	HYLIDAE	Acris	gryllus	"(Le Conte, 1825)"						Southern Cricket Frog			LC		3.1	2014	stable	N
22714797	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	ACROCEPHALIDAE	Acrocephalus	familiaris	"(Rothschild, 1892)"						"Millerbird, Nihoa Millerbird, Nihoa Reed-warbler"			CR	B1ac(iv)	3.1	2016	stable	N
176769	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	ACROCHORDIDAE	Acrochordus	granulatus	"(Schneider, 1799)"					Acrochordus fasciatus  |Chersydrus annulatus  |Chersydrus fasciatus  |Chersydrus granulatus  |Hydrus granulatus  |Pelamis granulatus  	"Wart Snake, Marine File Snake, Little Wartsnake, Small Warty Snake, Little Filesnake"			LC		3.1	2010	stable	N
