Taxa,Spp,totalSppPix,Rank
A,aABSAx,3235,2.0
A,aACSSx,23035633,164.0
A,aADSAx,1623192,82.0
A,aAGTOx,34261,11.0
A,aAMBUx,1064358178,275.0
A,aAMDSx,11422891,138.0
A,aAMTOx,891841035,271.0
A,aARSAx,18365730,156.0
A,aARTOx,8459046,130.0
A,aAZTOx,12439217,142.0
A,aAZTRx,13120242,145.0
A,aBAFRx,3292013,100.0
A,aBATRx,110526979,223.0
A,aBBSSx,21097659,159.0
A,aBCSAx,11961,6.0
A,aBCTRx,10061897,132.0
A,aBESAx,3438162,102.0
A,aBGCSx,94657,19.0
A,aBGSAx,210409,33.0
A,aBLASx,46382231,185.0
A,aBLSAx,2728,1.0
A,aBLTOx,10466,5.0
A,aBMSAx,1439870,74.0
A,aBOFRx,75341959,203.0
A,aBOTOx,232190244,247.0
A,aBRDSx,1169802,68.0
A,aBRFRx,22924318,163.0
A,aBRTSx,6127752,118.0
A,aBSNEx,1159258,67.0
A,aBSPSx,29781,10.0
A,aBTISx,201160583,239.0
A,aBUPSx,263928355,249.0
A,aBUTOx,6182576,119.0
A,aBVTRx,65534950,194.0
A,aBWRWx,15763,7.0
A,aCANEx,1459575,75.0
A,aCASAx,1314340,71.0
A,aCATOx,27946827,171.0
A,aCATRx,2288997,90.0
A,aCBSAx,35487,12.0
A,aCCFRx,3926172,106.0
A,aCCSAx,309557,37.0
A,aCFNEx,43420368,182.0
A,aCGSAx,5185240,112.0
A,aCGTRx,1227782641,278.0
A,aCHDSx,7106485,123.0
A,aCHSAx,158988,29.0
A,aCISSx,546923,45.0
A,aCKSAx,440621,42.0
A,aCLFRx,463294,44.0
A,aCLSAx,57365347,190.0
A,aCMDSx,1142661,65.0
A,aCMSAx,1679055,85.0
A,aCMTSx,2118939,88.0
A,aCOFRx,14489289,150.0
A,aCOGSx,8442314,129.0
A,aCOSAx,11567228,139.0
A,aCOSPx,745637944,268.0
A,aCPSAx,3529049,104.0
A,aCRFRx,33612209,177.0
A,aCRLFx,4278212,109.0
A,aCSFRx,12338343,140.0
A,aCSLSx,48552716,189.0
A,aCSMSx,5904228,117.0
A,aCTFRx,65888372,195.0
A,aCTGSx,12993024,143.0
A,aCTOSx,4536209,110.0
A,aCTRSx,5510967,114.0
A,aCUDSx,204256,31.0
A,aCUTRx,24779809,168.0
A,aCVSAx,224312720,245.0
A,aCWFRx,615357502,266.0
A,aCYTRx,46605238,187.0
A,aDASAx,1415058,72.0
A,aDBBSx,93743,18.0
A,aDGFRx,145588,28.0
A,aDNSAx,17319515,154.0
A,aDUSAx,10172628,133.0
A,aDWSAx,115086026,225.0
A,aDWWAx,21507003,160.0
A,aEANEx,614276400,265.0
A,aEASPx,545260260,262.0
A,aENMTx,1221117961,277.0
A,aENSAx,198257406,238.0
A,aERBSx,574634686,264.0
A,aETSAx,169976912,235.0
A,aFBFRx,415897,41.0
A,aFBSAx,270962,34.0
A,aFFSAx,22054448,161.0
A,aFMSAx,603698,50.0
A,aFOTOx,1792403642,279.0
A,aFTSAx,119880522,227.0
A,aFYLFx,23278936,165.0
A,aGBSAx,578745,47.0
A,aGBSPx,1082702408,276.0
A,aGCTOx,404666511,257.0
A,aGESAx,109665,21.0
A,aGGSAx,10875002,134.0
A,aGHFRx,96993781,214.0
A,aGMSSx,11401983,137.0
A,aGOFRx,30229402,172.0
A,aGPTOx,1891386192,280.0
A,aGRFRx,686637480,267.0
A,aGRSAx,42932003,181.0
A,aGRSIx,67463801,198.0
A,aGRTOx,570123268,263.0
A,aGRTRx,240965021,248.0
A,aGSALx,1123740,64.0
A,aGSSAx,14254656,148.0
A,aGUWAx,13501202,146.0
A,aGYTRx,523276236,261.0
A,aHELLx,12438926,141.0
A,aHHSSx,568016,46.0
A,aHOTOx,4094127,107.0
A,aHUSPx,210333129,241.0
A,aIGSAx,20473533,158.0
A,aILGRx,8230713,128.0
A,aIMSAx,128322,22.0
