,Taxa,spp,huc,spp_pixel_count,spp_gs1_pixel_count,spp_gs2_pixel_count,spp_gs3_pixel_count,spp_gs4_pixel_count,spp_gs_total_check
0,A,aCGTRx,102500170609,14102,0,0.0,0,14102.0,14102
1,A,aPLFRx,102500170609,3033,0,0.0,0,3033.0,3033
2,B,bAMKEx,102500170609,24736,0,0.0,0,24736.0,24736
3,B,bAMROx,102500170609,31462,0,0.0,0,31462.0,31462
4,B,bBANSx,102500170609,20709,0,0.0,0,20709.0,20709
5,B,bBHCOx,102500170609,3393,0,0.0,0,3393.0,3393
6,B,bCANVx,102500170609,7338,0,0.0,0,7338.0,7338
7,B,bCONIx,102500170609,33506,0,0.0,0,33506.0,33506
8,B,bEUSTx,102500170609,19038,0,0.0,0,19038.0,19038
9,B,bGRPCx,102500170609,14562,0,0.0,0,14562.0,14562
10,B,bNSHRx,102500170609,20107,0,0.0,0,20107.0,20107
11,B,bPISIx,102500170609,29985,0,0.0,0,29985.0,29985
12,B,bPRFAx,102500170609,7751,0,0.0,0,7751.0,7751
13,B,bRBNUx,102500170609,8832,0,0.0,0,8832.0,8832
14,B,bRUBLx,102500170609,8828,0,0.0,0,8828.0,8828
15,B,bSORAx,102500170609,431,0,0.0,0,431.0,431
16,B,bSTFLx,102500170609,23508,0,0.0,0,23508.0,23508
17,B,bVIRAx,102500170609,1,0,0.0,0,1.0,1
18,M,mBBBAx,102500170609,33506,0,0.0,0,33506.0,33506
19,M,mESSKx,102500170609,5327,0,0.0,0,5327.0,5327
20,M,mESTSx,102500170609,27105,0,0.0,0,27105.0,27105
21,M,mFGSQx,102500170609,13734,0,0.0,0,13734.0,13734
22,M,mMJMOx,102500170609,3740,0,0.0,0,3740.0,3740
23,M,mNGMOx,102500170609,1236,0,0.0,0,1236.0,1236
24,M,mREFOx,102500170609,90,0,0.0,0,90.0,90
25,M,mVIOPx,102500170609,32005,0,0.0,0,32005.0,32005
26,R,rECLIx,102500170609,629,0,0.0,0,629.0,629
27,R,rGOPHx,102500170609,33506,0,0.0,0,33506.0,33506
28,R,rLISNx,102500170609,25688,0,0.0,0,25688.0,25688
29,R,rPBWAx,102500170609,1611,0,0.0,0,1611.0,1611
30,R,rPLGAx,102500170609,7008,0,0.0,0,7008.0,7008
31,B,bCOMEx,102500170608,32031,0,0.0,0,32031.0,32031
32,B,bCOYEx,102500170608,45240,0,0.0,0,45240.0,45240
33,B,bHASPx,102500170608,42476,0,0.0,0,42476.0,42476
34,B,bLEOWx,102500170608,47587,0,0.0,0,47587.0,47587
35,B,bNOMOx,102500170608,47598,0,0.0,0,47598.0,47598
36,B,bNOPAx,102500170608,945,0,0.0,0,945.0,945
37,B,bRBGRx,102500170608,2398,0,0.0,0,2398.0,2398
38,B,bRNEPx,102500170608,31430,0,0.0,0,31430.0,31430
39,B,bROPIx,102500170608,3748,0,0.0,0,3748.0,3748
40,B,bYBCUx,102500170608,12152,0,0.0,0,12152.0,12152
41,M,mEACOx,102500170608,1065,0,0.0,0,1065.0,1065
42,M,mEVBAx,102500170608,23793,0,0.0,0,23793.0,23793
43,M,mLBMYx,102500170608,17506,0,0.0,0,17506.0,17506
44,M,mRINGx,102500170608,2115,0,0.0,0,2115.0,2115
45,M,mTLGSx,102500170608,46529,0,0.0,0,46529.0,46529
46,M,mWFDEx,102500170608,984,0,0.0,0,984.0,984
47,R,rNWATx,102500170608,8049,0,0.0,0,8049.0,8049
48,R,rPATUx,102500170608,4049,0,0.0,0,4049.0,4049
49,R,rSPSOx,102500170608,5170,0,0.0,0,5170.0,5170
50,R,rTERAx,102500170608,2170,0,0.0,0,2170.0,2170
51,A,aAMTOx,102500170607,29649,0,0.0,0,29649.0,29649
52,A,aNCFRx,102500170607,14069,0,0.0,0,14069.0,14069
53,B,bAMCOx,102500170607,6851,0,0.0,0,6851.0,6851
54,B,bAMCRx,102500170607,20646,0,0.0,0,20646.0,20646
55,B,bAMGOx,102500170607,62269,0,0.0,0,62269.0,62269
56,B,bBAEAx,102500170607,37990,0,0.0,0,37990.0,37990
57,B,bBEWRx,102500170607,67,0,0.0,0,67.0,67
58,B,bBHGRx,102500170607,972,0,0.0,0,972.0,972
59,B,bBLGRx,102500170607,61458,0,0.0,0,61458.0,61458
60,B,bBOGUx,102500170607,28600,0,0.0,0,28600.0,28600
61,B,bCANGx,102500170607,81862,0,0.0,0,81862.0,81862
62,B,bCOGOx,102500170607,27840,0,0.0,0,27840.0,27840
63,B,bDEJUx,102500170607,18219,0,0.0,0,18219.0,18219
64,B,bEAKIx,102500170607,66218,0,0.0,0,66218.0,66218
65,B,bFISPx,102500170607,11132,0,0.0,0,11132.0,11132
66,B,bGADWx,102500170607,39440,0,0.0,0,39440.0,39440
67,B,bGRSPx,102500170607,47325,0,0.0,0,47325.0,47325
68,B,bHOLAx,102500170607,7253,0,0.0,0,7253.0,7253
69,B,bLARBx,102500170607,53974,0,0.0,0,53974.0,53974
70,B,bNOFLx,102500170607,25483,0,0.0,0,25483.0,25483
71,B,bNOGOx,102500170607,10569,0,0.0,0,10569.0,10569
72,B,bSSHAx,102500170607,55528,0,0.0,0,55528.0,55528
73,B,bTUVUx,102500170607,66310,0,0.0,0,66310.0,66310
74,B,bWBNUx,102500170607,10603,0,0.0,0,10603.0,10603
75,M,mAMBEx,102500170607,13439,0,0.0,0,13439.0,13439
76,M,mEAPIx,102500170607,18480,0,0.0,0,18480.0,18480
77,M,mERBAx,102500170607,6346,0,0.0,0,6346.0,6346
78,M,mPHMOx,102500170607,49085,0,0.0,0,49085.0,49085
79,M,mRACCx,102500170607,63311,0,0.0,0,63311.0,63311
80,M,mSHBAx,102500170607,14588,0,0.0,0,14588.0,14588
81,M,mSTSKx,102500170607,59929,0,0.0,0,59929.0,59929
82,R,rFMTUx,102500170607,3193,0,0.0,0,3193.0,3193
83,R,rMILKx,102500170607,66302,0,0.0,0,66302.0,66302
84,R,rOBTUx,102500170607,36273,0,0.0,0,36273.0,36273
85,R,rPRSKx,102500170607,45179,0,0.0,0,45179.0,45179
86,R,rWEWOx,102500170607,10018,0,0.0,0,10018.0,10018
87,A,aWNMTx,102500170601,1658,0,0.0,0,1658.0,1658
88,B,bAWPEx,102500170601,7,0,0.0,0,7.0,7
89,B,bBUFFx,102500170601,80,0,0.0,0,80.0,80
90,B,bBWTEx,102500170601,285,0,0.0,0,285.0,285
