gapSppCode,gapComName,gapSciName,iucnTaxonID,iucnComName,iucnSciName,iucnOriginUS,iucnCategory,iucnPopulationTrend,iucnTrend,hucCount,meanPercUse,habBreadth,percL2,L2endemic,Jend,Endemic,Group,Subgroup,potRare,Spp,na_l2code,na_l2name,totalSppPix,SppProt,SppPercProt,Spp_L2
aABSAx,Austin Blind Salamander,Eurycea waterlooensis,59278.0,Austin Blind Salamander,Eurycea waterlooensis,Native,VU,unknown,1,2,1.05531038248,1,100.0,1,1,1,H,DD,1,aABSAx,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,3235,650,20,aABSAx_9.4
aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,59340.0,Slimy Salamander,Plethodon glutinosus,Native,LC,stable,0,1442,16.6773182693,0,63.1578259647,1,1,1,B,TR,1,aACSSx,8.3,SOUTHEASTERN USA PLAINS,14548805,529371,4,aACSSx_8.3
aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,59340.0,Slimy Salamander,Plethodon glutinosus,Native,LC,stable,0,1442,16.6773182693,0,63.1578259647,1,1,1,B,TR,1,aACSSx,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8486828,613693,7,aACSSx_8.5
aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,59244.0,Apalachicola Dusky Salamander,Desmognathus apalachicolae,Native,LC,stable,0,347,4.92560373497,1,96.6100128635,1,1,1,E,TR,1,aADSAx,8.3,SOUTHEASTERN USA PLAINS,1568166,30280,2,aADSAx_8.3
aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,59244.0,Apalachicola Dusky Salamander,Desmognathus apalachicolae,Native,LC,stable,0,347,4.92560373497,1,96.6100128635,1,1,1,E,TR,1,aADSAx,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,55026,382,1,aADSAx_8.5
aAGTOx,Amargosa Toad,Anaxyrus nelsoni,3181.0,,Anaxyrus nelsoni,Native,EN,decreasing,1,7,3.34331513165,1,92.9453314264,1,1,1,H,DD,1,aAGTOx,10.1,COLD DESERTS,2417,6,0,aAGTOx_10.1
aAGTOx,Amargosa Toad,Anaxyrus nelsoni,3181.0,,Anaxyrus nelsoni,Native,EN,decreasing,1,7,3.34331513165,1,92.9453314264,1,1,1,H,DD,1,aAGTOx,10.2,WARM DESERTS,31844,1479,5,aAGTOx_10.2
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,10.1,COLD DESERTS,37304914,3348216,9,aAMBUx_10.1
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,10.2,WARM DESERTS,2967992,522509,18,aAMBUx_10.2
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,11.1,MEDITERRANEAN CALIFORNIA,5297260,690806,13,aAMBUx_11.1
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,12.1,WESTERN SIERRA MADRE PIEDMONT,95357,27542,29,aAMBUx_12.1
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,13.1,UPPER GILA MOUNTAINS,329360,50992,15,aAMBUx_13.1
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,15.4,EVERGLADES,448551,25622,6,aAMBUx_15.4
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,5.2,MIXED WOOD SHIELD,44006062,7976811,18,aAMBUx_5.2
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,5.3,ATLANTIC HIGHLANDS,33715243,4714829,14,aAMBUx_5.3
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,6.2,WESTERN CORDILLERA,86755008,14663091,17,aAMBUx_6.2
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,7.1,MARINE WEST COAST FOREST,20116542,1132949,6,aAMBUx_7.1
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,8.1,MIXED WOOD PLAINS,82350805,3455524,4,aAMBUx_8.1
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,8.2,CENTRAL USA PLAINS,42199700,1237016,3,aAMBUx_8.2
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,8.3,SOUTHEASTERN USA PLAINS,333422779,10738315,3,aAMBUx_8.3
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,113617416,6236682,5,aAMBUx_8.4
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,145064874,17002268,12,aAMBUx_8.5
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,9.2,TEMPERATE PRAIRIES,57641003,2112906,4,aAMBUx_9.2
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,6126652,262875,4,aAMBUx_9.3
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,40690225,1181387,3,aAMBUx_9.4
