strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
aABSAx,Eurycea waterlooensis,Austin Blind Salamander,59278,Eurycea waterlooensis,Austin Blind Salamander,VU,unknown,match,match,matchmatch
aADSAx,Desmognathus apalachicolae,Apalachicola Dusky Salamander,59244,Desmognathus apalachicolae,Apalachicola Dusky Salamander,LC,stable,match,match,matchmatch
aAMBUx,Lithobates catesbeianus,American Bullfrog,58565,Lithobates catesbeianus,American Bullfrog,LC,increasing,match,match,matchmatch
aAMDSx,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,59253,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,LC,unknown,match,match,matchmatch
aAMTOx,Anaxyrus americanus,American Toad,54570,Anaxyrus americanus,American Toad,LC,stable,match,match,matchmatch
aARSAx,Aneides lugubris,Arboreal Salamander,59118,Aneides lugubris,Arboreal Salamander,LC,stable,match,match,matchmatch
aARTOx,Anaxyrus californicus,Arroyo Toad,54599,Anaxyrus californicus,Arroyo Toad,EN,decreasing,match,match,matchmatch
aAZTOx,Anaxyrus microscaphus,Arizona Toad,54709,Anaxyrus microscaphus,Arizona Toad,LC,decreasing,match,match,matchmatch
aBAFRx,Craugastor augusti,Barking Frog,56438,Craugastor augusti,Barking Frog,LC,stable,match,match,matchmatch
aBCSAx,Gyrinophilus gulolineatus,Berry Cave Salamander,59280,Gyrinophilus gulolineatus,Berry Cave Salamander,EN,decreasing,match,match,matchmatch
aBGCSx,Plethodon amplus,Blue Ridge Gray-cheeked Salamander,59330,Plethodon amplus,Blue Ridge Gray-cheeked Salamander,VU,unknown,match,match,matchmatch
aBGSAx,Plethodon sherando,Big Levels Salamander,61905,Plethodon sherando,Big Levels Salamander,VU,unknown,match,match,matchmatch
aBLASx,Aneides flavipunctatus,Black Salamander,59116,Aneides flavipunctatus,Black Salamander,NT,decreasing,match,match,matchmatch
aBLSAx,Eurycea robusta,Blanco Blind Salamander,39263,Eurycea robusta,Blanco Blind Salamander,DD,unknown,match,match,matchmatch
aBLTOx,Anaxyrus exsul,Black Toad,3169,Anaxyrus exsul,Black Toad,VU,stable,match,match,matchmatch
aBMSAx,Desmognathus welteri,Black Mountain Salamander,59258,Desmognathus welteri,Black Mountain Salamander,LC,unknown,match,match,matchmatch
aBOFRx,Pseudacris maculata,Boreal Chorus Frog,136004,Pseudacris maculata,Boreal Chorus Frog,LC,stable,match,match,matchmatch
aBOTOx,Anaxyrus boreas,Western Toad,3179,Anaxyrus boreas,Western Toad,LC,decreasing,match,match,matchmatch
aBRDSx,Desmognathus orestes,Blue Ridge Dusky Salamander,59255,Desmognathus orestes,Blue Ridge Dusky Salamander,LC,stable,match,match,matchmatch
aBRFRx,Pseudacris brimleyi,Brimley's Chorus Frog,55889,Pseudacris brimleyi,Brimley's Chorus Frog,LC,stable,match,match,matchmatch
aBRTSx,Eurycea wilderae,Blue Ridge Two-lined Salamander,59279,Eurycea wilderae,Blue Ridge Two-lined Salamander,LC,stable,match,match,matchmatch
aBSNEx,Notophthalmus meridionalis,Black-spotted Newt,59452,Notophthalmus meridionalis,Black-spotted Newt,EN,decreasing,match,match,matchmatch
aBSPSx,Eurycea sosorum,Barton Springs Salamander,8392,Eurycea sosorum,Barton Springs Salamander,VU,stable,match,match,matchmatch
aBUPSx,Ambystoma laterale,Blue-spotted Salamander,59060,Ambystoma laterale,Blue-spotted Salamander,LC,stable,match,match,matchmatch
aBUTOx,Rhinophrynus dorsalis,Burrowing Toad,59040,Rhinophrynus dorsalis,Burrowing Toad,LC,stable,match,match,matchmatch
aCATOx,Anaxyrus hemiophrys,Canadian Toad,54661,Anaxyrus hemiophrys,Canadian Toad,LC,stable,match,match,matchmatch
aCBSAx,Eurycea tridentifera,Comal Blind Salamander,8393,Eurycea tridentifera,Comal Blind Salamander,VU,unknown,match,match,matchmatch
aCCFRx,Eleutherodactylus marnockii,Cliff Chirping Frog,56744,Eleutherodactylus marnockii,Cliff Chirping Frog,LC,stable,match,match,matchmatch
aCCSAx,Eurycea latitans,Cascade Caverns Salamander,59267,Eurycea latitans,Cascade Caverns Salamander,VU,decreasing,match,match,matchmatch
aCGSAx,Dicamptodon copei,Cope's Giant Salamander,59079,Dicamptodon copei,Cope's Giant Salamander,LC,stable,match,match,matchmatch
aCHDSx,Eurycea chamberlaini,Chamberlain's Dwarf Salamander,59262,Eurycea chamberlaini,Chamberlain's Dwarf Salamander,DD,unknown,match,match,matchmatch
aCHSAx,Plethodon cheoah,Cheoah Bald Salamander,59333,Plethodon cheoah,Cheoah Bald Salamander,VU,stable,match,match,matchmatch
aCISSx,Batrachoseps pacificus,Channel Islands Slender Salamander,59131,Batrachoseps pacificus,Channel Islands Slender Salamander,LC,stable,match,match,matchmatch
aCLFRx,Lithobates chiricahuensis,Chiricahua Leopard Frog,58575,Lithobates chiricahuensis,Chiricahua Leopard Frog,VU,decreasing,match,match,matchmatch
aCLSAx,Aneides ferreus,Clouded Salamander,59115,Aneides ferreus,Clouded Salamander,NT,decreasing,match,match,matchmatch
aCMDSx,Desmognathus carolinensis,Carolina Mountain Dusky Salamander,59247,Desmognathus carolinensis,Carolina Mountain Dusky Salamander,LC,stable,match,match,matchmatch
aCMSAx,Plethodon caddoensis,Caddo Mountain Salamander,17630,Plethodon caddoensis,Caddo Mountain Salamander,NT,unknown,match,match,matchmatch
aCMTSx,Plethodon nettingi,Cheat Mountain Salamander,17627,Plethodon nettingi,Cheat Mountain Salamander,NT,stable,match,match,matchmatch
aCOFRx,Rana luteiventris,Columbia Spotted Frog,58649,Rana luteiventris,Columbia Spotted Frog,LC,decreasing,match,match,matchmatch
