jenkBINOMIAL,Jend,matchType,gapSppCode,gapSciName,gapComName,iucnTaxonID,iucnSciName,iucnComName
Acris gryllus,1,Matched on iucnSciName,aSCFRx,Acris gryllus,Southern Cricket Frog,55287,Acris gryllus,Southern Cricket Frog
Ambystoma annulatum,1,Matched on iucnSciName,aRISAx,Ambystoma annulatum,Ringed Salamander,59052,Ambystoma annulatum,Ringed Salamander
Ambystoma barbouri,1,Matched on iucnSciName,aSTRSx,Ambystoma barbouri,Streamside Salamander,59053,Ambystoma barbouri,Streamside Salamander
Ambystoma bishopi,1,Matched on iucnSciName,aRFSAx,Ambystoma bishopi,Reticulated Flatwoods Salamander,136128,Ambystoma bishopi,Reticulated Flatwoods Salamander
Ambystoma californiense,1,Matched on iucnSciName,aCTGSx,Ambystoma californiense,California Tiger Salamander,1098,Ambystoma californiense,California Tiger Salamander
Ambystoma cingulatum,1,Matched on iucnSciName,aFFSAx,Ambystoma cingulatum,Frosted Flatwoods Salamander,1099,Ambystoma cingulatum,Frosted Flatwoods Salamander
Ambystoma mabeei,1,Matched on iucnSciName,aMBSAx,Ambystoma mabeei,Mabee's Salamander,59062,Ambystoma mabeei,Mabee's Salamander
Ambystoma opacum,1,Matched on iucnSciName,aMASAx,Ambystoma opacum,Marbled Salamander,59065,Ambystoma opacum,Marbled Salamander
Ambystoma talpoideum,1,Matched on iucnSciName,aMOSAx,Ambystoma talpoideum,Mole Salamander,59069,Ambystoma talpoideum,Mole Salamander
Ambystoma texanum,1,Matched on iucnSciName,aSMMSx,Ambystoma texanum,Small-mouthed Salamander,59071,Ambystoma texanum,Smallmouth Salamander
Amphiuma means,1,Matched on iucnSciName,aTWAMx,Amphiuma means,Two-toed Amphiuma,59074,Amphiuma means,Two-toed Amphiuma
Amphiuma pholeter,1,Matched on iucnSciName,aOTAMx,Amphiuma pholeter,One-toed Amphiuma,59075,Amphiuma pholeter,One-toed Amphiuma
Amphiuma tridactylum,1,Matched on iucnSciName,aTHAMx,Amphiuma tridactylum,Three-toed Amphiuma,59076,Amphiuma tridactylum,Three-toed Amphiuma
