gapSppCode,gapComName,gapSciName,iucnTaxonID,iucnComName,iucnSciName,iucnOriginUS,iucnCategory,iucnPopulationTrend,iucnTrend,hucCount,meanPercUse,habBreadth,percL2,L2endemic,Jend,Endemic,Group,Subgroup,potRare,Spp,totalSppPix,SppProt,SppPercProt
aABSAx,Austin Blind Salamander,Eurycea waterlooensis,59278.0,Austin Blind Salamander,Eurycea waterlooensis,Native,VU,unknown,1,2,1.05531038248,1,100.0,1,1,1,H,DD,1,aABSAx,3235,650,20
aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,59340.0,Slimy Salamander,Plethodon glutinosus,Native,LC,stable,0,1442,16.6773182693,0,63.1578259647,1,1,1,B,TR,1,aACSSx,23035633,1143064,5
aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,59244.0,Apalachicola Dusky Salamander,Desmognathus apalachicolae,Native,LC,stable,0,347,4.92560373497,1,96.6100128635,1,1,1,E,TR,1,aADSAx,1623192,30662,2
aAGTOx,Amargosa Toad,Anaxyrus nelsoni,3181.0,,Anaxyrus nelsoni,Native,EN,decreasing,1,7,3.34331513165,1,92.9453314264,1,1,1,H,DD,1,aAGTOx,34261,1485,4
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.4250573832,0,0.0,0,0,0,A,A,0,aAMBUx,1064358178,75795825,7
aAMDSx,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,59253.0,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Native,LC,unknown,0,3466,3.27590589639,1,57.5670379766,1,1,1,E,TR,1,aAMDSx,11422891,1028549,9
aAMTOx,American Toad,Anaxyrus americanus,54570.0,American Toad,Anaxyrus americanus,Native,LC,stable,0,33354,26.7007232995,0,0.0,0,0,0,A,A,0,aAMTOx,891841035,30411460,3
aARSAx,Arboreal Salamander,Aneides lugubris,59118.0,Arboreal Salamander,Aneides lugubris,Native,LC,stable,0,1825,10.2890687721,0,76.3042198704,1,0,0,A,A,0,aARSAx,18365730,1913504,10
aARTOx,Arroyo Toad,Anaxyrus californicus,54599.0,Arroyo Toad,Anaxyrus californicus,Native,EN,decreasing,1,504,16.8902730636,0,93.9283578787,1,0,0,D,DD,1,aARTOx,8459046,1552303,18
aAZTOx,Arizona Toad,Anaxyrus microscaphus,54709.0,Arizona Toad,Anaxyrus microscaphus,Native,LC,decreasing,1,1704,7.62549735753,1,82.3438565305,1,1,1,H,DD,1,aAZTOx,12439217,1307096,11
aAZTRx,Arizona Treefrog,Hyla wrightorum,55696.0,Wright's Mountain Treefrog,Dryophytes wrightorum,Native,LC,stable,0,1040,13.0418980791,0,94.0679447833,1,0,0,A,A,0,aAZTRx,13120242,1600348,12
aBAFRx,Barking Frog,Craugastor augusti,56438.0,Barking Frog,Craugastor augusti,Native,LC,stable,0,1341,2.08593920338,1,54.5165830147,1,0,0,C,TR,1,aBAFRx,3292013,168016,5
aBATRx,Barking Treefrog,Hyla gratiosa,55495.0,Barking Treefrog,Dryophytes gratiosus,Native,LC,stable,0,6718,14.1192892411,0,55.0162055909,1,1,1,B,TR,1,aBATRx,110526979,11120012,10
aBBSSx,Black-bellied Slender Salamander,Batrachoseps nigriventris,59130.0,Blackbelly Slender Salamander,Batrachoseps nigriventris,Native,LC,stable,0,506,40.548935553,0,97.0453878319,1,1,1,B,TR,1,aBBSSx,21097659,3374262,16
aBCSAx,Berry Cave Salamander,Gyrinophilus gulolineatus,59280.0,Berry Cave Salamander,Gyrinophilus gulolineatus,Native,EN,decreasing,1,3,2.70070502635,1,100.0,1,1,1,H,DD,1,aBCSAx,11961,79,1
aBCTRx,Baja California Treefrog,Pseudacris hypochondriaca,55897.0,Pacific Treefrog,Pseudacris regilla,Native,LC,stable,0,1954,4.56170898168,1,0.0,0,0,0,C,TR,1,aBCTRx,10061897,3188233,32
aBESAx,Black-bellied Salamander,Desmognathus quadramaculatus,59256.0,Blackbelly Salamander,Desmognathus quadramaculatus,Native,LC,stable,0,910,3.90185818976,1,90.7599176537,1,1,1,E,TR,1,aBESAx,3438162,572149,17
aBGCSx,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,59330.0,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,Native,VU,unknown,1,21,4.64817945803,1,100.0,1,1,1,H,DD,1,aBGCSx,94657,10613,11
aBGSAx,Big Levels Salamander,Plethodon sherando,61905.0,Big Levels Salamander,Plethodon sherando,Native,VU,unknown,1,11,22.5737698569,0,100.0,1,1,1,G,DD,1,aBGSAx,210409,102344,49
aBLASx,Black Salamander,Aneides flavipunctatus,59116.0,Black Salamander,Aneides flavipunctatus,Native,NT,decreasing,1,800,59.8456428481,0,66.7913839677,1,1,1,G,DD,1,aBLASx,46382231,6603017,14
aBLSAx,Blanco Blind Salamander,Eurycea robusta,39263.0,Blanco Blind Salamander,Eurycea robusta,Native,DD,unknown,0,5,0.447137887309,1,100.0,1,1,1,E,TR,1,aBLSAx,2728,22,1
aBLTOx,Black Toad,Anaxyrus exsul,3169.0,Black Toad,Anaxyrus exsul,Native,VU,stable,1,9,0.803750663785,1,99.9904452513,1,1,1,H,DD,1,aBLTOx,10466,137,1
aBMSAx,Black Mountain Salamander,Desmognathus welteri,59258.0,Black Mountain Salamander,Desmognathus welteri,Native,LC,unknown,0,486,2.89525385774,1,98.5875113726,1,1,1,E,TR,1,aBMSAx,1439870,80585,6
aBOFRx,Boreal Chorus Frog,Pseudacris maculata,136004.0,Boreal Chorus Frog,Pseudacris maculata,Native,LC,stable,0,28249,2.51762227204,1,0.0,0,0,0,C,TR,1,aBOFRx,75341959,8224745,11
aBOTOx,Western Toad,Anaxyrus boreas,3179.0,Western Toad,Anaxyrus boreas,Native,LC,decreasing,1,15400,16.0254616516,0,89.707509847,1,0,0,D,DD,1,aBOTOx,232190244,59754609,26
aBRDSx,Blue Ridge Dusky Salamander,Desmognathus orestes,59255.0,Blue Ridge Dusky Salamander,Desmognathus orestes,Native,LC,stable,0,168,6.66360631153,1,91.0730191947,1,1,1,E,TR,1,aBRDSx,1169802,65270,6
aBRFRx,Brimley's Chorus Frog,Pseudacris brimleyi,55889.0,Brimley's Chorus Frog,Pseudacris brimleyi,Native,LC,stable,0,1730,13.1110323049,0,60.3284468485,1,1,1,B,TR,1,aBRFRx,22924318,2450896,11
aBRTSx,Blue Ridge Two-lined Salamander,Eurycea wilderae,59279.0,Blue Ridge Two-lined Salamander,Eurycea wilderae,Native,LC,stable,0,687,9.59369491203,1,66.4578135669,1,1,1,E,TR,1,aBRTSx,6127752,683480,11
aBSNEx,Black-spotted Newt,Notophthalmus meridionalis,59452.0,Black-spotted Newt,Notophthalmus meridionalis,Native,EN,decreasing,1,201,3.77478034479,1,91.1781501616,1,0,0,F,DD,1,aBSNEx,1159258,27297,2
aBSPSx,Barton Springs Salamander,Eurycea sosorum,8392.0,Barton Springs Salamander,Eurycea sosorum,Native,VU,stable,1,5,4.00411509793,1,100.0,1,1,1,H,DD,1,aBSPSx,29781,2718,9
aBTISx,Barred Tiger Salamander,Ambystoma mavortium,199970.0,Western Tiger Salamander,Ambystoma mavortium,Native,LC,unknown,0,28881,6.18036098665,1,0.0,0,0,0,C,TR,1,aBTISx,201160583,8649292,4
