Taxa	spp	huc	spp_pixel_count	spp_gs1_pixel_count	spp_gs2_pixel_count	spp_gs3_pixel_count	spp_gs4_pixel_count	spp_gs_total_check
M	mmevox	101101010102	194	NULL	NULL	129	65	194
M	mbobcx	101102050502	19861	NULL	NULL	19861	NULL	19861
M	mwfdex	101101013704	2421	NULL	89	NULL	2332	2421
M	mltwex	101102050406	43	NULL	NULL	43	NULL	43
B	bcagux	101101012706	121558	NULL	1060	505	119993	121558
B	bcitex	101102040104	92	NULL	NULL	92	NULL	92
B	bloshx	101101012808	96589	NULL	511	4049	92029	96589
B	bnswox	101101012701	16	NULL	NULL	16	NULL	16
B	bsnowx	101102030902	19740	NULL	NULL	19740	NULL	19740
M	mbobcx	101101010203	13352	NULL	3567	NULL	9785	13352
B	bbowax	101102030408	974	NULL	NULL	974	NULL	974
B	bamwix	101102040502	981	NULL	NULL	981	NULL	981
B	bcangx	101102030105	8143	NULL	NULL	8143	NULL	8143
B	bcoyex	101101010704	3180	NULL	NULL	3166	14	3180
B	bamavx	101102050408	4166	NULL	NULL	4166	NULL	4166
B	bamavx	101102020508	415	NULL	NULL	415	NULL	415
B	bcaegx	101102050408	69590	NULL	NULL	69590	NULL	69590
B	bgbhex	101101012703	18016	NULL	333	NULL	17683	18016
